#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,15:30:16.549,ENTER,37.290,100,,3729.0,,,28742,28743,A,,,,297,203
BHP,20130205,15:30:16.549,ENTER,37.290,100,,3729.0,,,28744,28745,A,,,,110,203
BHP,20130205,15:30:16.549,ENTER,37.290,100,,3729.0,,,28746,28747,B,,,,366,203
BHP,20130205,15:30:21.422,ENTER,37.280,100,,3728.0,,,28752,28753,A,,,,297,150
BHP,20130205,15:30:21.422,ENTER,37.280,100,,3728.0,,,28756,28757,B,,,,297,150
BHP,20130205,15:30:22.013,ENTER,37.290,100,,3729.0,,,28770,28771,B,,,,110,217
BHP,20130205,15:30:22.013,ENTER,37.290,100,,3729.0,,,28774,28775,A,,,,110,366
BHP,20130205,15:30:48.545,ENTER,37.300,100,,3729.9999999999995,XT,,28802,28803,B,,,,203,203
BHP,20130205,15:30:48.545,ENTER,37.300,100,,3729.9999999999995,,,28806,28807,A,,,,203,231
BHP,20130205,15:31:41.036,ENTER,37.290,100,,3729.0,PXT,,28820,28821,A,,,,150,150
BHP,20130205,15:31:56.600,ENTER,37.300,100,,3729.9999999999995,,,28824,28825,B,,,,361,366
BHP,20130205,15:31:56.600,ENTER,37.300,100,,3729.9999999999995,,,28828,28829,A,,,,361,150
BHP,20130205,15:32:19.996,ENTER,37.290,100,,3729.0,,,28838,28839,A,,,,210,140
BHP,20130205,15:32:19.996,ENTER,37.290,100,,3729.0,,,28842,28843,B,,,,150,140
BHP,20130205,15:32:43.116,ENTER,37.290,100,,3729.0,,,28864,28865,A,,,,203,255
BHP,20130205,15:33:04.062,ENTER,37.280,100,,3728.0,,,28922,28923,A,,,,297,241
BHP,20130205,15:33:04.062,ENTER,37.280,100,,3728.0,,,28926,28927,B,,,,297,241
BHP,20130205,15:33:23.374,ENTER,37.290,100,,3729.0,,,28996,28997,B,,,,270,297
BHP,20130205,15:33:23.374,ENTER,37.290,100,,3729.0,,,29000,29001,A,,,,270,217
BHP,20130205,15:34:04.484,ENTER,37.280,100,,3728.0,,,29036,29037,A,,,,217,361
BHP,20130205,15:34:18.577,ENTER,37.270,100,,3727.0000000000005,,,29084,29085,A,,,,297,150
BHP,20130205,15:34:30.517,ENTER,37.280,100,,3728.0,,,29088,29089,B,,,,210,361
BHP,20130205,15:34:34.733,ENTER,37.270,100,,3727.0000000000005,,,29092,29093,A,,,,210,140
BHP,20130205,15:34:34.761,ENTER,37.275,100,,3727.5,,,29096,29097,B,,,,150,217
BHP,20130205,15:35:11.747,ENTER,37.270,100,,3727.0000000000005,,,29102,29103,A,,,,110,366
BHP,20130205,15:35:45.192,ENTER,37.260,100,,3726.0,,,29140,29141,A,,,,144,150
BHP,20130205,15:35:45.192,ENTER,37.260,100,,3726.0,,,29144,29145,B,,,,297,229
BHP,20130205,15:36:24.712,ENTER,37.260,100,,3726.0,,,29218,29219,A,,,,203,366
BHP,20130205,15:36:28.471,ENTER,37.260,100,,3726.0,,,29222,29223,B,,,,217,144
